Spotify Artist,Tidal Artist,Spotify Title,Tidal Title,Tidal URL
Igorrr,Igorrr,Spirituality and Distortion,Spirituality and Distortion,https://tidal.com/browse/album/125917739
Alan Walker,Alan Walker,Different World,Different World,https://tidal.com/browse/album/99828200
Apparat,Apparat,The Devil's Walk,The Devil's Walk,https://tidal.com/browse/album/34512584
Apparat,Apparat,LP5,LP5,https://tidal.com/browse/album/104069552
Billie Eilish,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",https://tidal.com/browse/album/121069658
Black Atlass,Black Atlass,Dream Awake,Dream Awake,https://tidal.com/browse/album/135657576
BTS,BTS,Love Yourself 承 'Her',Love Yourself 承 'Her',https://tidal.com/browse/album/205907937
BTS,BTS,Love Yourself 結 'Answer',Love Yourself 結 'Answer',https://tidal.com/browse/album/207713226
BTS,BTS,Love Yourself 轉 'Tear',Love Yourself 轉 'Tear',https://tidal.com/browse/album/207713198
BTS,BTS,Wings,Wings,https://tidal.com/browse/album/205907843
Cigarettes After Sex,Cigarettes After Sex,Affection,Affection,https://tidal.com/browse/album/76903528
Cigarettes After Sex,Cigarettes After Sex,Crush,Crush,https://tidal.com/browse/album/424929981
Cigarettes After Sex,Cigarettes After Sex,I.,I.,https://tidal.com/browse/album/76903534
Coldplay,Coldplay,Music Of The Spheres,Music Of The Spheres,https://tidal.com/browse/album/200813772
Coldplay,Coldplay,A Head Full of Dreams,A Head Full of Dreams,https://tidal.com/browse/album/54728054
Daft Punk,Daft Punk,Homework,Homework,https://tidal.com/browse/album/161010
deadmau5,deadmau5,For Lack Of A Better Name,For Lack of A Better Name (The Extended Mixes),https://tidal.com/browse/album/304197081
deadmau5,deadmau5,Polar (Music from the Netflix Film),Polar (Music from the Netflix Film),https://tidal.com/browse/album/241907172
deadmau5,deadmau5,where's the drop?,where's the drop?,https://tidal.com/browse/album/241907138
DOPE LEMON,Dope Lemon,Honey Bones,Honey Bones,https://tidal.com/browse/album/111122794
